Gregorian,wikipedia,Fliegel,Hatcher,Meeus,Vallado,Curtis2020,Curtis2014,boost,php,pyorbital,NAOJ,minName,minJD,maxName,maxJD,max-min
-001/01/01,1720694.5,1720697,1720695,1720692.5,1720679.5,1720678.5,1720678.5,1720695,1721060,1720694.5,nan,Curtis2020,1720678.5,php,1721060,381.5
-001/02/01,1720725.5,1720726,1720726,1720722.5,1720710.5,1720709.5,1720709.5,1720726,1721091,1720725.5,nan,Curtis2020,1720709.5,php,1721091,381.5
-001/03/01,1720753.5,1720756,1720754,1720753.5,1720738.5,1720739.5,1720738.5,1720755,1721120,1720753.5,nan,Vallado,1720738.5,php,1721120,381.5
-001/04/01,1720784.5,1720787,1720785,1720784.5,1720769.5,1720770.5,1720769.5,1720785,1721151,1720784.5,nan,Vallado,1720769.5,php,1721151,381.5
-001/05/01,1720814.5,1720817,1720815,1720814.5,1720799.5,1720800.5,1720799.5,1720816,1721181,1720814.5,nan,Vallado,1720799.5,php,1721181,381.5
-001/06/01,1720845.5,1720848,1720846,1720845.5,1720830.5,1720831.5,1720830.5,1720846,1721212,1720845.5,nan,Vallado,1720830.5,php,1721212,381.5
-001/07/01,1720875.5,1720878,1720876,1720875.5,1720860.5,1720861.5,1720860.5,1720877,1721242,1720875.5,nan,Vallado,1720860.5,php,1721242,381.5
-001/08/01,1720906.5,1720909,1720907,1720906.5,1720891.5,1720892.5,1720891.5,1720908,1721273,1720906.5,nan,Vallado,1720891.5,php,1721273,381.5
-001/09/01,1720937.5,1720940,1720938,1720937.5,1720922.5,1720923.5,1720922.5,1720938,1721304,1720937.5,nan,Vallado,1720922.5,php,1721304,381.5
-001/10/01,1720967.5,1720970,1720968,1720967.5,1720952.5,1720953.5,1720952.5,1720969,1721334,1720967.5,nan,Vallado,1720952.5,php,1721334,381.5
-001/11/01,1720998.5,1721001,1720999,1720998.5,1720983.5,1720984.5,1720983.5,1720999,1721365,1720998.5,nan,Vallado,1720983.5,php,1721365,381.5
-001/12/01,1721028.5,1721031,1721029,1721028.5,1721013.5,1721014.5,1721013.5,1721030,1721395,1721028.5,nan,Vallado,1721013.5,php,1721395,381.5
0001/01/01,1721425.5,1721427,1721426,1721423.5,1721410.5,1721410.5,1721410.5,1721426,1721426,1721425.5,nan,Vallado,1721410.5,Fliegel,1721427,16.5
0001/02/01,1721456.5,1721457,1721457,1721453.5,1721441.5,1721441.5,1721441.5,1721457,1721457,1721456.5,nan,Vallado,1721441.5,Fliegel,1721457,15.5
0001/03/01,1721484.5,1721487,1721485,1721484.5,1721469.5,1721470.5,1721469.5,1721485,1721485,1721484.5,nan,Vallado,1721469.5,Fliegel,1721487,17.5
0001/04/01,1721515.5,1721518,1721516,1721515.5,1721500.5,1721501.5,1721500.5,1721516,1721516,1721515.5,nan,Vallado,1721500.5,Fliegel,1721518,17.5
0001/05/01,1721545.5,1721548,1721546,1721545.5,1721530.5,1721531.5,1721530.5,1721546,1721546,1721545.5,nan,Vallado,1721530.5,Fliegel,1721548,17.5
0001/06/01,1721576.5,1721579,1721577,1721576.5,1721561.5,1721562.5,1721561.5,1721577,1721577,1721576.5,nan,Vallado,1721561.5,Fliegel,1721579,17.5
0001/07/01,1721606.5,1721609,1721607,1721606.5,1721591.5,1721592.5,1721591.5,1721608,1721607,1721606.5,nan,Vallado,1721591.5,Fliegel,1721609,17.5
0001/08/01,1721637.5,1721640,1721638,1721637.5,1721622.5,1721623.5,1721622.5,1721638,1721638,1721637.5,nan,Vallado,1721622.5,Fliegel,1721640,17.5
0001/09/01,1721668.5,1721671,1721669,1721668.5,1721653.5,1721654.5,1721653.5,1721669,1721669,1721668.5,nan,Vallado,1721653.5,Fliegel,1721671,17.5
0001/10/01,1721698.5,1721701,1721699,1721698.5,1721683.5,1721684.5,1721683.5,1721699,1721699,1721698.5,nan,Vallado,1721683.5,Fliegel,1721701,17.5
0001/11/01,1721729.5,1721732,1721730,1721729.5,1721714.5,1721715.5,1721714.5,1721730,1721730,1721729.5,nan,Vallado,1721714.5,Fliegel,1721732,17.5
0001/12/01,1721759.5,1721762,1721760,1721759.5,1721744.5,1721745.5,1721744.5,1721761,1721760,1721759.5,nan,Vallado,1721744.5,Fliegel,1721762,17.5
